Umur,,Indeks Massa Tubuh,,,,,,
Tahun,Bulan,-3 SD,-2 SD,-1 SD,Median,+1 SD,+2 SD,+3 SD
,0,10.2,11.1,12.2,13.4,14.8,16.3,18.1
,1,11.3,12.4,13.6,14.9,16.3,17.8,19.4
,2,12.5,13.7,15,16.3,17.8,19.4,21.1
,3,13.1,14.3,15.5,16.9,18.4,20,21.8
,4,13.4,14.5,15.8,17.2,18.7,20.3,22.1
,5,13.5,14.7,15.9,17.3,18.8,20.5,22.3
,6,13.6,14.7,16,17.3,18.8,20.5,22.3
,7,13.7,14.8,16,17.3,18.8,20.5,22.3
,8,13.6,14.7,15.9,17.3,18.7,20.4,22.2
,9,13.6,14.7,15.8,17.2,18.6,20.3,22.1
,10,13.5,14.6,15.7,17,18.5,20.1,22
,11,13.4,14.5,15.6,16.9,18.4,20,21.8
,12,13.4,14.4,15.5,16.8,18.2,19.8,21.6
,13,13.3,14.3,15.4,16.7,18.1,19.7,21.5
,14,13.2,14.2,15.3,16.6,18,19.5,21.3
,15,13.1,14.1,15.2,16.4,17.8,19.4,21.2
,16,13.1,14,15.1,16.3,17.7,19.3,21
,17,13,13.9,15,16.2,17.6,19.1,20.9
,18,12.9,13.9,14.9,16.1,17.5,19,20.8
,19,12.9,13.8,14.9,16.1,17.4,18.9,20.7
,20,12.8,13.7,14.8,16,17.3,18.8,20.6
,21,12.8,13.7,14.7,15.9,17.2,18.7,20.5
,22,12.7,13.6,14.7,15.8,17.2,18.7,20.4
,23,12.7,13.6,14.6,15.8,17.1,18.6,20.3
,24,12.7,13.6,14.6,15.7,17,18.5,20.3
,25,12.8,13.8,14.8,16,17.3,18.8,20.5
,26,12.8,13.7,14.8,15.9,17.3,18.8,20.5
,27,12.7,13.7,14.7,15.9,17.2,18.7,20.4
,28,12.7,13.6,14.7,15.9,17.2,18.7,20.4
,29,12.7,13.6,14.7,15.8,17.1,18.6,20.3
,30,12.6,13.6,14.6,15.8,17.1,18.6,20.2
,31,12.6,13.5,14.6,15.8,17.1,18.5,20.2
,32,12.5,13.5,14.6,15.7,17,18.5,20.1
,33,12.5,13.5,14.5,15.7,17,18.5,20.1
,34,12.5,13.4,14.5,15.7,17,18.4,20
,35,12.4,13.4,14.5,15.6,16.9,18.4,20
,36,12.4,13.4,14.4,15.6,16.9,18.4,20
,37,12.4,13.3,14.4,15.6,16.9,18.3,19.9
,38,12.3,13.3,14.4,15.5,16.8,18.3,19.9
,39,12.3,13.3,14.3,15.5,16.8,18.3,19.9
,40,12.3,13.2,14.3,15.5,16.8,18.2,19.9
,41,12.2,13.2,14.3,15.5,16.8,18.2,19.9
,42,12.2,13.2,14.3,15.4,16.8,18.2,19.8
,43,12.2,13.2,14.2,15.4,16.7,18.2,19.8
,44,12.2,13.1,14.2,15.4,16.7,18.2,19.8
,45,12.2,13.1,14.2,15.4,16.7,18.2,19.8
,46,12.1,13.1,14.2,15.4,16.7,18.2,19.8
